rubric,source,link,title
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/3e6dac14-f4b2-5f19-91f2-75e7db4dcaa5?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776499976&cl4url=68edd0a14fdc3f9d635a8668646eb514&story=5e9ea2af-8f6b-5500-af99-df5d07896850,Еще четырем фигурантам дела о теракте в «Крокусе» продлили арест
,other sorces,https://dzen.ruhttps://dzen.ru/news/story/a96d3716-2941-5705-ad75-7f73707a03cb?lang=ru&rubric=index&fan=1&t=1715873725&tt=true&persistent_id=2776501292&cl4url=cf8552ce25056f5a533a83b6c14108d4&story=9e0f6374-9a10-5168-bfb4-f881feea1ed0,
Главное,Известия,https://dzen.ru/news/story/9c441ec0-6e85-5b26-b997-12b878fb95db?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&tt=true&persistent_id=2776483622&cl4url=0b01f32a6d095e1df67d995b8a0bc4d8&story=2a99be17-1f3a-5582-8304-6f9bf5093f15,В Петербурге нашли останки убитого в 2000 году легкоатлета Бордукова
Санкт-Петербург,РБК,https://dzen.ru/news/story/10e80fed-a698-5cac-9f8d-ccd1f58d1221?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776492812&cl4url=f6a49135a1c1dcddce6d3f9511e87b11&story=fd696132-1582-5071-8199-ec65ca8002a7,В Петербурге расширяют ограничения для электросамокатов
Санкт-Петербург,Газета.Ru,https://dzen.ru/news/story/41948dc6-bce1-554b-8fe5-68738374d9bc?lang=ru&rubric=culture&fan=1&t=1715873725&tt=true&persistent_id=2776478621&cl4url=f41b4517a4f738390089c9f8b70300bd&story=dd938415-5985-52cc-9d16-20e127c142ad,Певец SHAMAN предстал в образе героя-любовника в клипе «Любимая женщина»
Санкт-Петербург,Канобу,https://dzen.ru/news/story/984cba99-3c04-5925-91f0-e14eccd5193e?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776476523&cl4url=330744f23de7bd39fbd1e3659e205d6d&story=98e7f74b-fdf1-5ee8-8a40-c55a7f7e8bfa,Звезда «Жизни матрёшки» Наташа Лионн сыграет в «Фантастической четвёрке»
Санкт-Петербург,Газета.Ru,https://dzen.ru/news/story/da9ac591-056f-5bcb-857d-3448715cc9d0?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776369146&cl4url=524b1e9a11f06c04d4475c6b8a347a35&story=06e06071-a458-5b79-8bdc-2727ca5285e9,Hi-Tech Mail.Ru: стоимость iPhone 15 в России опустилась до 66 тысяч рублей
Санкт-Петербург,Игромания.ру,https://dzen.ru/news/story/0d0860d4-8cbe-5bab-b4ee-cb6ef01b3e96?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776488401&cl4url=a8504f005274ac690201028499c708dd&story=70118ce6-6263-5e7b-9926-4e599fbdcd42,Assassins Creed Shadows не будет требовать постоянного подключения к сети
Санкт-Петербург,Время России (news),https://dzen.ru/news/story/e4a65811-c52f-53ed-86fd-84803ea8bdbc?lang=ru&rubric=science&fan=1&t=1715873725&persistent_id=2776490586&cl4url=f82469b3fd998ff0725475947c9170b8&story=835a2c50-b8a0-5ed2-b09a-035a9acd239f,SD: Геомагнитная буря может стать катализатором новой волны ураганов по миру
Санкт-Петербург,Planet Today,https://dzen.ru/news/story/407eff3b-9b77-5bbf-b698-6ed0b35aaf5f?lang=ru&rubric=science&fan=1&t=1715873725&persistent_id=2776482643&cl4url=e9c0a018f153c35f89f6d6bc593952ae&story=44a9197e-54ac-58d5-88ac-8c64eb9cba74,ELife: избыток растительных масел увеличивает риск смерти и заболеваний
